시공ID,작업ID,단계,공사가 해야할 일,확인포인트,산출물
C-MASON-BLOCK-001-01,MASON-BLOCK-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MASON-BLOCK-001-02,MASON-BLOCK-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MASON-BLOCK-001-03,MASON-BLOCK-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-MASON-LINTEL-001-01,MASON-LINTEL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-MASON-LINTEL-001-02,MASON-LINTEL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-MASON-LINTEL-001-03,MASON-LINTEL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PLASTER-WALL-001-01,PLASTER-WALL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PLASTER-WALL-001-02,PLASTER-WALL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PLASTER-WALL-001-03,PLASTER-WALL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PLASTER-FLOOR-001-01,PLASTER-FLOOR-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PLASTER-FLOOR-001-02,PLASTER-FLOOR-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PLASTER-FLOOR-001-03,PLASTER-FLOOR-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-PLASTER-LEVEL-001-01,PLASTER-LEVEL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-PLASTER-LEVEL-001-02,PLASTER-LEVEL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-PLASTER-LEVEL-001-03,PLASTER-LEVEL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-WATER-URE-001-01,WATER-URE-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-WATER-URE-001-02,WATER-URE-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-WATER-URE-001-03,WATER-URE-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-WATER-SHEET-001-01,WATER-SHEET-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-WATER-SHEET-001-02,WATER-SHEET-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-WATER-SHEET-001-03,WATER-SHEET-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-WATER-JOINT-001-01,WATER-JOINT-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-WATER-JOINT-001-02,WATER-JOINT-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-WATER-JOINT-001-03,WATER-JOINT-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-INSUL-XPS-001-01,INSUL-XPS-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-INSUL-XPS-001-02,INSUL-XPS-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-INSUL-XPS-001-03,INSUL-XPS-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-INSUL-WOOL-001-01,INSUL-WOOL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-INSUL-WOOL-001-02,INSUL-WOOL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-INSUL-WOOL-001-03,INSUL-WOOL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-WINDOW-AL-001-01,WINDOW-AL-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
C-WINDOW-AL-001-02,WINDOW-AL-001,작업중,"작업반장 배치, 간섭사항 조정, 공정·인원·장비 동선관리","작업진도, 품질검측 타이밍, 안전조치 유지",작업일보/사진
C-WINDOW-AL-001-03,WINDOW-AL-001,작업후,"검측 요청, 하자·미시공 사항 보완, 후속공정 인계","완료범위, 청소상태, 보양상태",검측결과/인계기록
C-WINDOW-GLASS-001-01,WINDOW-GLASS-001,작업전,도면·시방서·승인자재·작업순서 확인,"시공상세도, 자재승인, 선행공정 완료 여부",작업계획서/검측요청서
