작업ID,대공종,중공종,세부작업,공정순서,주요시기,기본위험도,검색키워드,비고
RC-CONC-003,철근콘크리트공사,콘크리트공사,보·슬래브 콘크리트 타설,40,골조,매우위험,철근콘크리트공사 콘크리트공사 보·슬래브 콘크리트 타설,웹앱 검색용 기본 작업 단위
RC-CURE-001,철근콘크리트공사,양생공사,콘크리트 양생·보양,41,골조,보통,철근콘크리트공사 양생공사 콘크리트 양생·보양,웹앱 검색용 기본 작업 단위
RC-TEST-001,철근콘크리트공사,품질시험,슬럼프·공기량·공시체 제작,42,골조,보통,철근콘크리트공사 품질시험 슬럼프·공기량·공시체 제작,웹앱 검색용 기본 작업 단위
STEEL-ANCHOR-001,철골공사,앵커공사,앵커볼트 설치,50,골조,위험,철골공사 앵커공사 앵커볼트 설치,웹앱 검색용 기본 작업 단위
STEEL-ERECT-001,철골공사,철골세우기,철골 기둥·보 양중 및 설치,51,골조,매우위험,철골공사 철골세우기 철골 기둥·보 양중 및 설치,웹앱 검색용 기본 작업 단위
STEEL-BOLT-001,철골공사,접합공사,고장력볼트 체결,52,골조,위험,철골공사 접합공사 고장력볼트 체결,웹앱 검색용 기본 작업 단위
STEEL-WELD-001,철골공사,용접공사,현장용접,53,골조,위험,철골공사 용접공사 현장용접,웹앱 검색용 기본 작업 단위
STEEL-DECK-001,철골공사,데크공사,데크플레이트 설치,54,골조,매우위험,철골공사 데크공사 데크플레이트 설치,웹앱 검색용 기본 작업 단위
STEEL-FIRE-001,철골공사,내화공사,내화피복 시공,55,마감전,보통,철골공사 내화공사 내화피복 시공,웹앱 검색용 기본 작업 단위
MASON-BRICK-001,조적공사,벽돌공사,시멘트벽돌 쌓기,60,마감,보통,조적공사 벽돌공사 시멘트벽돌 쌓기,웹앱 검색용 기본 작업 단위
MASON-BLOCK-001,조적공사,블록공사,콘크리트블록 쌓기,61,마감,보통,조적공사 블록공사 콘크리트블록 쌓기,웹앱 검색용 기본 작업 단위
MASON-LINTEL-001,조적공사,보강공사,인방보·개구부 보강,62,마감,위험,조적공사 보강공사 인방보·개구부 보강,웹앱 검색용 기본 작업 단위
PLASTER-WALL-001,미장공사,벽체미장,벽체 초벌·정벌 미장,70,마감,보통,미장공사 벽체미장 벽체 초벌·정벌 미장,웹앱 검색용 기본 작업 단위
PLASTER-FLOOR-001,미장공사,바닥미장,바닥 몰탈·방통,71,마감,보통,미장공사 바닥미장 바닥 몰탈·방통,웹앱 검색용 기본 작업 단위
PLASTER-LEVEL-001,미장공사,셀프레벨링,자기수평몰탈,72,마감,보통,미장공사 셀프레벨링 자기수평몰탈,웹앱 검색용 기본 작업 단위
WATER-URE-001,방수공사,도막방수,우레탄 도막방수,80,마감,위험,방수공사 도막방수 우레탄 도막방수,웹앱 검색용 기본 작업 단위
WATER-SHEET-001,방수공사,시트방수,시트방수,81,마감,위험,방수공사 시트방수 시트방수,웹앱 검색용 기본 작업 단위
WATER-JOINT-001,방수공사,실링공사,조인트 실링,82,마감,보통,방수공사 실링공사 조인트 실링,웹앱 검색용 기본 작업 단위
INSUL-XPS-001,단열공사,보온판,XPS/EPS 단열재 설치,90,마감,보통,단열공사 보온판 XPS/EPS 단열재 설치,웹앱 검색용 기본 작업 단위
INSUL-WOOL-001,단열공사,흡음·단열,글라스울·미네랄울 설치,91,마감,보통,단열공사 흡음·단열 글라스울·미네랄울 설치,웹앱 검색용 기본 작업 단위
WINDOW-AL-001,창호공사,금속창호,AL창호 설치,100,마감,위험,창호공사 금속창호 AL창호 설치,웹앱 검색용 기본 작업 단위
WINDOW-GLASS-001,창호공사,유리공사,유리 반입·설치,101,마감,매우위험,창호공사 유리공사 유리 반입·설치,웹앱 검색용 기본 작업 단위
WINDOW-DOOR-001,창호공사,문공사,방화문·철재문 설치,102,마감,위험,창호공사 문공사 방화문·철재문 설치,웹앱 검색용 기본 작업 단위
METAL-RAIL-001,금속공사,난간공사,난간·핸드레일 설치,110,마감,위험,금속공사 난간공사 난간·핸드레일 설치,웹앱 검색용 기본 작업 단위
METAL-CEIL-001,금속공사,경량철골,천장 경량철골틀 설치,111,마감,위험,금속공사 경량철골 천장 경량철골틀 설치,웹앱 검색용 기본 작업 단위
METAL-LOUVER-001,금속공사,금속패널,루버·금속패널 설치,112,마감,위험,금속공사 금속패널 루버·금속패널 설치,웹앱 검색용 기본 작업 단위
ROOF-SHEET-001,지붕공사,금속지붕,징크·컬러강판 지붕 시공,120,마감,매우위험,지붕공사 금속지붕 징크·컬러강판 지붕 시공,웹앱 검색용 기본 작업 단위
ROOF-DRAIN-001,지붕공사,우수처리,홈통·물받이 설치,121,마감,위험,지붕공사 우수처리 홈통·물받이 설치,웹앱 검색용 기본 작업 단위
STONE-EXT-001,석공사,외장석,외부 석재 앵커 시공,130,마감,매우위험,석공사 외장석 외부 석재 앵커 시공,웹앱 검색용 기본 작업 단위
STONE-FLOOR-001,석공사,바닥석,바닥 석재 붙임,131,마감,보통,석공사 바닥석 바닥 석재 붙임,웹앱 검색용 기본 작업 단위
TILE-WALL-001,타일공사,벽타일,벽타일 붙임,140,마감,보통,타일공사 벽타일 벽타일 붙임,웹앱 검색용 기본 작업 단위
TILE-FLOOR-001,타일공사,바닥타일,바닥타일 붙임,141,마감,보통,타일공사 바닥타일 바닥타일 붙임,웹앱 검색용 기본 작업 단위
TILE-GROUT-001,타일공사,줄눈공사,타일 줄눈·청소,142,마감,보통,타일공사 줄눈공사 타일 줄눈·청소,웹앱 검색용 기본 작업 단위
PAINT-WATER-001,도장공사,수성도장,내부 수성도장,150,마감,보통,도장공사 수성도장 내부 수성도장,웹앱 검색용 기본 작업 단위
PAINT-EPOXY-001,도장공사,바닥도장,에폭시·우레탄 바닥도장,151,마감,위험,도장공사 바닥도장 에폭시·우레탄 바닥도장,웹앱 검색용 기본 작업 단위
PAINT-ANTIRUST-001,도장공사,방청도장,철부 방청도장,152,마감,위험,도장공사 방청도장 철부 방청도장,웹앱 검색용 기본 작업 단위
INTERIOR-BOARD-001,수장공사,보드공사,석고보드 설치,160,마감,보통,수장공사 보드공사 석고보드 설치,웹앱 검색용 기본 작업 단위
INTERIOR-CEIL-001,수장공사,천장공사,천장텍스·흡음판 설치,161,마감,위험,수장공사 천장공사 천장텍스·흡음판 설치,웹앱 검색용 기본 작업 단위
INTERIOR-FIN-001,수장공사,마감재,몰딩·걸레받이 설치,162,마감,보통,수장공사 마감재 몰딩·걸레받이 설치,웹앱 검색용 기본 작업 단위
MECH-PIPE-001,기계설비공사,배관공사,급수·급탕 배관,170,설비,위험,기계설비공사 배관공사 급수·급탕 배관,웹앱 검색용 기본 작업 단위
MECH-DRAIN-001,기계설비공사,배관공사,오배수·우수 배관,171,설비,위험,기계설비공사 배관공사 오배수·우수 배관,웹앱 검색용 기본 작업 단위
MECH-DUCT-001,기계설비공사,덕트공사,덕트 제작·설치,172,설비,위험,기계설비공사 덕트공사 덕트 제작·설치,웹앱 검색용 기본 작업 단위
MECH-EQUIP-001,기계설비공사,장비설치,펌프·보일러·공조기 설치,173,설비,매우위험,기계설비공사 장비설치 펌프·보일러·공조기 설치,웹앱 검색용 기본 작업 단위
MECH-TEST-001,기계설비공사,시운전,수압시험·풍량조정,174,설비,보통,기계설비공사 시운전 수압시험·풍량조정,웹앱 검색용 기본 작업 단위
ELEC-CONDUIT-001,전기공사,전선관,전선관 배관,180,전기,위험,전기공사 전선관 전선관 배관,웹앱 검색용 기본 작업 단위
ELEC-WIRE-001,전기공사,배선공사,케이블 포설·결선,181,전기,위험,전기공사 배선공사 케이블 포설·결선,웹앱 검색용 기본 작업 단위
ELEC-PANEL-001,전기공사,수배전,분전반·수배전반 설치,182,전기,매우위험,전기공사 수배전 분전반·수배전반 설치,웹앱 검색용 기본 작업 단위
ELEC-LIGHT-001,전기공사,조명공사,조명·콘센트 설치,183,전기,위험,전기공사 조명공사 조명·콘센트 설치,웹앱 검색용 기본 작업 단위
ELEC-GROUND-001,전기공사,접지공사,접지·피뢰설비,184,전기,위험,전기공사 접지공사 접지·피뢰설비,웹앱 검색용 기본 작업 단위
FIRE-SPR-001,소방공사,소화설비,스프링클러 배관,190,소방,위험,소방공사 소화설비 스프링클러 배관,웹앱 검색용 기본 작업 단위
FIRE-HYDRANT-001,소방공사,소화전,옥내소화전 설치,191,소방,위험,소방공사 소화전 옥내소화전 설치,웹앱 검색용 기본 작업 단위
FIRE-ALARM-001,소방공사,경보설비,감지기·유도등 설치,192,소방,위험,소방공사 경보설비 감지기·유도등 설치,웹앱 검색용 기본 작업 단위
FIRE-SMOKE-001,소방공사,제연설비,제연덕트·댐퍼 설치,193,소방,위험,소방공사 제연설비 제연덕트·댐퍼 설치,웹앱 검색용 기본 작업 단위
EXT-PAVE-001,외부공사,포장공사,콘크리트·아스콘 포장,200,외부,위험,외부공사 포장공사 콘크리트·아스콘 포장,웹앱 검색용 기본 작업 단위
EXT-BLOCK-001,외부공사,보도공사,보도블록·경계석 설치,201,외부,보통,외부공사 보도공사 보도블록·경계석 설치,웹앱 검색용 기본 작업 단위
EXT-MANHOLE-001,외부공사,배수공사,맨홀·집수정 설치,202,외부,위험,외부공사 배수공사 맨홀·집수정 설치,웹앱 검색용 기본 작업 단위
LAND-PLANT-001,조경공사,식재공사,교목·관목 식재,210,외부,보통,조경공사 식재공사 교목·관목 식재,웹앱 검색용 기본 작업 단위
LAND-FAC-001,조경공사,시설물공사,놀이·휴게시설 설치,211,외부,위험,조경공사 시설물공사 놀이·휴게시설 설치,웹앱 검색용 기본 작업 단위
CLOSE-CLEAN-001,준공마무리,청소,준공청소,220,준공,보통,준공마무리 청소 준공청소,웹앱 검색용 기본 작업 단위
CLOSE-TEST-001,준공마무리,검사,시운전·성능시험,221,준공,위험,준공마무리 검사 시운전·성능시험,웹앱 검색용 기본 작업 단위
CLOSE-DOC-001,준공마무리,도서,준공도서·인수인계,222,준공,낮음,준공마무리 도서 준공도서·인수인계,웹앱 검색용 기본 작업 단위
